route_short_name,weekday_late,saturday_late,sunday_late,alldays_late
1,0.360100027785496,0.3941407429779523,0.31508931965032305,0.35986130258595483
10,0.3712376062322946,0.3966505068312032,0.3810463968410661,0.37621063434032453
101,0.4052624677651995,0.3913427561837456,0.3815842380377965,0.40157151797510604
102,0.5358827493261455,0.5803722504230118,,0.539911138348399
105,0.3131848709791446,0.3151236342725704,0.21273291925465843,0.30224075039082854
106,0.45425754138496444,0.4577880718008106,0.3552782794286652,0.4445963508700862
107,0.44624705094224215,0.3988180801788852,0.4150735294117647,0.4361124386323152
11,0.3570596106530841,0.3921610623259799,0.43142437591776794,0.37041067827534335
111,0.4981780322748568,0.8329979879275654,,0.5247603833865815
113,0.45482388973966315,0.6325301204819277,,0.4748641304347826
114,0.5488297013720742,0.7788778877887789,,0.5661691542288557
116,0.5077737347006286,0.48633879781420764,,0.5065502183406114
118,0.3230657288382246,0.3322932917316692,0.26369863013698636,0.32080696202531644
119,0.3362979433018344,0.3857142857142857,,0.33986591026302215
12,0.36947608200455584,0.3236601307189543,0.31232091690544417,0.35775545209507476
120,0.40488596566157,0.4525913541915453,0.35731835731835737,0.4069950738916256
121,0.556251057350702,0.6314741035856574,,0.5621394043349446
122,0.5417576419213974,0.5552763819095478,,0.5430822255046774
123,0.5865197666882696,0.5,,0.5800839832033593
124,0.3977513910399817,0.4070282658517953,0.35129180853194475,0.39406085682268766
125,0.5675874093787281,0.5845033801352054,0.5270967741935484,0.5654836464857342
128,0.3721526051443357,0.42556995976754586,0.36647033472202273,0.37815949071458166
13,0.33962852156569434,0.39332220367278803,0.2693526482571299,0.33989081325301207
131,0.415416633943297,0.5017429700209156,0.4989733059548255,0.43612060002970443
132,0.38924393225074205,0.43528245787908826,0.43767996709173185,0.4013803123864874
14,0.31870801772188084,0.33531746031746035,0.2966830466830467,0.3185402595565614
143,0.6199890170236134,0.585812356979405,,0.6163275312576613
148,0.39167734937382903,0.26390870185449355,0.3001027749229188,0.3702460850111857
15,0.4494763656948769,0.7098445595854923,,0.47512120438887473
150,0.42319182587301984,0.4494397011739595,0.3951114306254493,0.4232186279566723
153,0.4245463228271251,0.5782312925170068,,0.43271839392295175
154,0.2777777777777778,0.2857142857142857,,0.2781546811397557
156,0.3483807082945014,0.36143536532641596,0.25574712643678166,0.3422081900004712
157,0.5568120624663435,0.7515151515151515,,0.5727002967359051
158,0.6002230275996654,0.6776649746192893,,0.6078874654609394
159,0.5360759493670886,0.7738853503184713,,0.5575705238917674
164,0.3099561678146525,0.3502596653202539,0.20103986135181973,0.31047520201645784
166,0.43808784191906114,0.4244808743169399,0.27926363320597425,0.4211282319143379
167,0.5181138585393905,0.6588235294117647,,0.5306443163960188
168,0.36886913686014133,0.36707530647985986,0.2757142857142857,0.3603740848884939
169,0.38230062259116515,0.36532170119956375,0.35333527526944364,0.3780540385168152
17,0.46019059329849366,0.603030303030303,,0.47334635780072565
177,0.6257695690413368,0.43981481481481477,,0.6096385542168674
178,0.603542234332425,0.5194805194805194,,0.595561035758323
179,0.5706180949537175,0.6987577639751552,,0.5818578044129665
18,0.4020388658808538,0.6638655462184874,,0.4287757437070938
180,0.40673717539963494,0.4438565549676661,0.41941539286672025,0.4134142768790079
181,0.4107798259722051,0.43973570289359765,0.3721479150275374,0.41015685186897166
182,0.36867434738223714,0.3394863563402889,0.17698019801980203,0.3472113118617439
183,0.44751090389532255,0.3517587939698492,0.2407407407407407,0.4327104629207631
186,0.3808417997097242,0.41162227602905566,,0.3841368584758943
187,0.430162265351575,0.3374340949033392,0.22236503856041134,0.3975859546452085
19,0.34507042253521125,0.6947368421052631,,0.38633540372670805
190,0.596267637687756,0.4699453551912568,,0.5865546218487395
192,0.47641963426371514,0.5148514851485149,,0.4798245614035088
193,0.6341584158415842,0.7311320754716981,,0.6433691756272402
197,0.5761997405966277,0.7578947368421053,,0.5915701988720689
2,0.30366036195400736,0.3199002908184462,0.35040142729705614,0.31131104879869276
200,0.3239519202579889,0.0,,0.3238569753810082
201,0.10864197530864195,0.0,,0.10328638497652587
204,0.2903071017274472,0.3846153846153846,,0.29584462511291776
208,0.3649407361197754,0.5202231520223153,0.5352941176470588,0.40464461646727656
21,0.4270315766609649,0.44421388667198725,0.4671572146446519,0.4338374291115312
212,0.4960912740333826,0.5209302325581395,,0.49815998450513266
214,0.5029190992493745,0.6086956521739131,,0.5121765601217656
216,0.519029374201788,0.6990291262135923,,0.5399548532731377
217,0.7242290748898679,0.6352941176470588,,0.7180327868852459
218,0.5480895915678524,0.625,,0.5504469987228608
219,0.5877774574805419,0.7681159420289855,,0.6070048931238733
22,0.267077369088603,0.39549839228295824,0.29812981298129815,0.2871892405923109
221,0.3886787946339716,0.422333000997009,0.370282216933016,0.39214559966139617
224,0.3236282194848824,0.4388888888888889,,0.33088492479888076
226,0.3379367634079228,0.3502472027062191,0.20564186426819298,0.3271232876712329
232,0.5007416196974191,0.6748466257668712,,0.5160941303759805
234,0.35836985542290056,0.34934318555008215,0.28596491228070176,0.35229403675459436
235,0.3279739085655433,0.23337222870478413,0.13385387618516453,0.3009019733528685
236,0.28837374755439615,0.3079439252336449,0.2493333333333333,0.28756034524796414
237,0.44109589041095887,0.8333333333333334,,0.45953002610966054
238,0.41236677778299446,0.3366900175131349,0.39054054054054055,0.4041814627139608
24,0.4062127781218734,0.3915906788247214,0.35702832709780863,0.3977823494543046
240,0.40478843547658483,0.3723750905141202,0.37146448774355756,0.3970162291388901
241,0.34959821860780327,0.3351648351648352,0.2817990161630358,0.3405540819333923
243,0.5918635170603674,0.704225352112676,,0.6014405762304922
244,0.6483944210184884,0.6254071661237786,,0.6463126843657817
245,0.43481963490261155,0.4369960474308301,0.33581081081081077,0.427290889482152
246,0.3091767319172567,0.32067510548523204,,0.3098866744822196
248,0.2684310018903592,0.26257171785352684,0.2702984038861902,0.26783585055643877
249,0.40819988039072364,0.34684147794994036,0.4159250585480093,0.40119790873559713
252,0.5263543191800879,0.692,,0.540241448692153
255,0.4551102476052774,0.49225173940543965,0.44244604316546765,0.4584352971255342
257,0.4492136304062909,0.6818181818181819,,0.4705357142857143
26,0.3877300093275672,0.38601036269430056,0.3791250959324636,0.38644025077974864
268,0.54739336492891,0.6616915422885572,,0.5595553202752779
269,0.45411654914973043,0.40430438124519597,0.28249566724436737,0.4439400008901945
27,0.3280889621087315,0.3123698458975427,0.35,0.32821954648248886
271,0.46784200791365227,0.46102677809994885,0.4316714027383105,0.46441033463628567
277,0.552751596229857,0.5063291139240507,,0.5496313102665911
28,0.40914497787505355,0.4432339449541285,0.4301155423033918,0.415587759305576
29,0.43060498220640564,0.636036036036036,,0.45198799699924985
3,0.3631707546283244,0.3753712136210652,0.3853236607142857,0.3659251157249165
301,0.42750716332378225,0.6672862453531598,,0.44985276286159714
303,0.4455587392550143,0.5241635687732342,,0.4524665142110421
304,0.4240159441953164,0.5109489051094891,,0.42957089552238803
308,0.4076130055511499,0.4225352112676056,,0.4084084084084084
309,0.4956420685647879,0.616580310880829,,0.5078369905956113
31,0.35684002261164505,0.3245674740484429,0.3793418647166362,0.35305469783855314
311,0.5581761006289307,0.689119170984456,,0.5702046644455021
312,0.4506736697876228,0.6208718626155878,,0.4642143983184446
316,0.43442622950819676,0.6470588235294117,,0.4471598414795245
32,0.37184654426033736,0.3441642838575514,0.35726447219069235,0.3660987330712101
33,0.38180804262965484,0.40423317140874393,0.28003533568904593,0.3740192623913554
330,0.3207484129635817,0.5739130434782609,,0.3301158301158301
331,0.2912728820774798,0.2723214285714286,0.14849354375896695,0.2756186077202244
342,0.5532754538279401,0.6962025316455696,,0.5654998195597257
345,0.22193684846653572,0.23452484742807322,0.16736401673640167,0.21902628786985734
346,0.2719394194362642,0.24102333931777375,0.25152253349573694,0.2654395430022215
347,0.2330798953010096,0.21993006993006992,0.14767932489451474,0.22263415561576116
348,0.26073152986308623,0.2468245794713354,0.2112806287563569,0.2534290666006437
355,0.48278500382555467,0.5485074626865671,,0.4869897350202912
36,0.38905733886677396,0.3825226710634789,0.29679869777536627,0.3793388857275878
37,0.5338716913414088,0.7196652719665272,,0.5518638573743921
372,0.3612410458048042,0.3625984885029747,0.24652987326493658,0.3543301230803555
373,0.4272203654981156,0.49572649572649574,,0.4334389345057219
4,0.30571697145787047,0.3794732061762035,0.3409527878658406,0.3227150937779101
40,0.4215907273018136,0.4052190267220437,0.4367414490621552,0.42111301110413646
41,0.3799787663961095,0.37821512081060016,0.2917662394090811,0.36931730621051007
43,0.4329349269588313,0.4807881773399014,0.3472727272727273,0.43309510720175926
44,0.3057352941176471,0.370607787274454,0.3785065727063288,0.32282384114316354
45,0.34246866369237305,0.39511966213045524,0.3659579984443868,0.35241991533455486
47,0.24596273291925463,0.44402035623409675,0.23545706371191133,0.2693278636793941
48,0.37779629349088517,0.3822571893651655,0.32951527224435595,0.37292932342175766
49,0.3294239668102761,0.402848696586939,0.2863614301892897,0.3348950707662274
5,0.39900447799859373,0.4160668924640135,0.44589508350976237,0.4067813090343372
50,0.3940604721017881,0.36755386565272496,0.27701342281879193,0.37587519185887597
55,0.5192861255037421,0.7192982456140351,,0.5398915569326104
56,0.37574919317657907,0.5821596244131455,,0.39420654911838793
57,0.46039268788083954,0.7421875,,0.4828660436137072
60,0.3802666331279084,0.3269005847953217,0.3196808510638298,0.36852424151796104
62,0.38210514925257777,0.40308130285522903,0.37248201438848916,0.38374054152611903
63,0.4888812863496408,0.5773195876288659,,0.4992449411054062
64,0.5278637770897833,0.7183333333333333,,0.5501757126122608
65,0.3965787470332721,0.3644339228519705,0.3490856418613073,0.38798242861625354
661,0.5780821917808219,0.9230769230769231,,0.58994708994709
67,0.4552604327017269,0.418592794017675,0.41132408019387534,0.4462645172473566
7,0.44672983591402815,0.4437462597247157,0.43009918068132813,0.44436775542518425
70,0.36335293421208414,0.3898007033997656,0.3284201488265598,0.36307329748021033
