route_short_name,weekday_late,saturday_late,sunday_late,alldays_late
1,0.24640177827174214,0.307157958320749,0.23223109083998483,0.2532481096210887
10,0.28147131728045327,0.2653151167915381,0.2206317867719645,0.271214162016548
101,0.3199003452948118,0.2968197879858657,0.30719742661841576,0.316076767957722
102,0.461421832884097,0.48223350253807107,,0.46330626627853533
105,0.25262165665134917,0.19551466359977,0.11645962732919257,0.22876498176133397
106,0.3601895734597157,0.335842501447597,0.23789197176161547,0.34406805407868757
107,0.36891620306993267,0.2895703561731353,0.2724264705882353,0.3467219880957553
11,0.2688738291535374,0.27629042621546374,0.38443465491923645,0.2825773822860984
111,0.4082942911677946,0.7746478873239436,,0.4373801916932908
113,0.41960183767228176,0.6144578313253012,,0.44157608695652173
114,0.4853376378800107,0.7425742574257426,,0.504726368159204
116,0.3926563016870658,0.36612021857923494,,0.3911416094822209
118,0.26437060392917777,0.2542901716068643,0.2191780821917808,0.2604825949367089
119,0.31017231795441913,0.35,,0.3130479628674575
12,0.23872437357630982,0.17699346405228755,0.19914040114613185,0.22659012146882762
120,0.26509780473221145,0.31788870312873174,0.26272376272376274,0.2721346469622332
121,0.4718321772965657,0.49800796812749004,,0.4738811788554499
122,0.46588427947598254,0.4773869346733668,,0.46701132447070404
123,0.5275437459494492,0.47580645161290325,,0.5236952609478105
124,0.2947857511615901,0.3008403361344538,0.2401361906669337,0.2897595034910784
125,0.5189501697714967,0.5288611544461779,0.42387096774193544,0.5100208768267223
128,0.23055654203236775,0.29608106094471764,0.20543025427381123,0.23554450597054277
13,0.23809523809523814,0.266110183639399,0.19375282933454052,0.23743411144578308
131,0.3058587921149768,0.38949570067394845,0.4358316221765913,0.3315906728055844
132,0.30158896455386763,0.333994053518335,0.3496503496503497,0.3118935187587567
14,0.2039445476632843,0.2065972222222222,0.18857493857493857,0.20255313129884367
143,0.5755079626578803,0.49656750572082375,,0.5670507477322873
148,0.32925746967754654,0.19329529243937238,0.2086330935251799,0.3046500479386386
15,0.3628644211718086,0.6813471502590673,,0.39423322276090844
150,0.34674767152863206,0.3371131270010672,0.3181883537023724,0.34175816078402477
153,0.2957975167144221,0.4370748299319728,,0.30330982094411285
154,0.22364672364672367,0.24285714285714288,,0.22455902306648579
156,0.20648881640260952,0.21400778210116733,0.2068965517241379,0.2073417840818058
157,0.47065158858373723,0.7151515151515151,,0.49060336300692386
158,0.5126846947309729,0.6573604060913706,,0.527003265511178
159,0.49208860759493667,0.7165605095541401,,0.51237766263673
164,0.1660255836836927,0.19215233698788226,0.10398613518197575,0.16672844539995557
166,0.31219259642764685,0.30885245901639347,0.1761028134769017,0.29890310786106034
167,0.4456584243818287,0.611764705882353,,0.4604504976427449
168,0.28394731205825663,0.3141856392294221,0.18428571428571427,0.2787440226820702
169,0.24177290246071748,0.23009814612868051,0.26390911739003786,0.24231100891060653
17,0.39963110974485094,0.5727272727272728,,0.41557354172481165
177,0.5905892700087951,0.38888888888888884,,0.5730923694779116
178,0.5649409627611263,0.4415584415584416,,0.553226469379367
179,0.5156763212899373,0.6583850931677019,,0.528193952601471
18,0.34851863650844217,0.5518207282913166,,0.36927917620137296
180,0.2806130301897579,0.2918283362727807,0.2731295253419147,0.2812571205364409
181,0.3051672233906553,0.3618136249715197,0.28901127720954634,0.3109303257218575
182,0.24777599533323613,0.3242375601926164,0.15222772277227725,0.24980361351139047
183,0.3223793051586705,0.24288107202680065,0.2407407407407407,0.31167393710528024
186,0.3207547169811321,0.38256658595641646,,0.3273716951788491
187,0.27951002227171495,0.30404217926186294,0.11953727506426737,0.2677395757132407
19,0.26009389671361505,0.5789473684210527,,0.2977225672877847
190,0.5430131998179335,0.36612021857923494,,0.5294117647058824
192,0.40038498556304136,0.4554455445544554,,0.4052631578947369
193,0.5866336633663367,0.5896226415094339,,0.5869175627240144
197,0.504863813229572,0.7087719298245614,,0.5221133867616503
2,0.20478976731528098,0.2117435258274477,0.22640499553969673,0.20824675717657504
200,0.2198768689533861,0.0,,0.2198124267291911
201,0.06419753086419755,0.0,,0.06103286384976525
204,0.1451535508637236,0.17692307692307696,,0.1470189701897019
208,0.327199001871491,0.497907949790795,0.5176470588235293,0.37110016420361247
21,0.30053487551247593,0.3363128491620112,0.3804737975592247,0.3142927591024903
212,0.4196070145784915,0.46976744186046515,,0.4237846213441797
214,0.4341117597998332,0.5565217391304348,,0.4448249619482496
216,0.43448275862068964,0.596116504854369,,0.453273137697517
217,0.6502202643171806,0.5058823529411764,,0.6401639344262295
218,0.4536671058410189,0.4027777777777778,,0.45210727969348663
219,0.5165753819544537,0.7198067632850241,,0.5382436260623229
22,0.15528175394093136,0.24222936763129688,0.18261826182618257,0.16967803287596794
221,0.2899168026750527,0.2919242273180459,0.23189391363481804,0.2850621277624936
224,0.2773422918999626,0.3944444444444445,,0.28471493529206016
226,0.21374798816260843,0.20608899297423888,0.15862632869991822,0.2073189823874756
232,0.454761198457431,0.6380368098159509,,0.47092236948877464
234,0.2867865598710393,0.2668308702791461,0.23684210526315785,0.28120181689377843
235,0.2655490072666934,0.1489692726565539,0.0769659788064696,0.23634448972116662
236,0.21746605798304386,0.2429906542056075,0.18866666666666665,0.2180231140586142
237,0.3945205479452055,0.8333333333333334,,0.41514360313315923
238,0.3194985680078877,0.25350262697022763,0.2567567567567568,0.30977935602282247
24,0.31735671065796367,0.3183890577507599,0.2875467664350615,0.3136092611318386
240,0.29772624604728204,0.26466328747284573,0.21433060967944684,0.28437772975955133
241,0.24010068738503243,0.228021978021978,0.1658468025298665,0.23069554966106687
